parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,base_text,parent_funnel,left_funnel,right_funnel,same_type,same_funnel,clausal_coord,corrective,anchored,left_sent,base_sent,right_sent,cosine,left_vad,left_valence,left_arousal,left_dominance,right_vad,right_valence,right_arousal,right_dominance,vad_cosine,vad_distance
"(S
  (S
    (NP (PRP i))
    (VP
      (MD can)
      (VP
        (VB see)
        (ADVP (RB now))
        (SBAR
          (IN that)
          (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was)))))))
  (CC but)
  (S
    (ADVP (RB then))
    (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
    (VP
      (VBD was)
      (NP
        (NP (PRP$ her) (NN irritability))
        (PP
          (IN at)
          (S
            (VP
              (VBG having)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB carry)
                    (PRT (RP out))
                    (NP
                      (ADJP (RB so) (JJ unpleasant))
                      (DT a)
                      (NN task))))))))))))",i can see now that possibly she was but then all i saw was her irritability at having to carry out so unpleasant a task,S,"(S
  (S
    (NP (PRP i))
    (VP
      (MD can)
      (VP
        (VB see)
        (ADVP (RB now))
        (SBAR
          (IN that)
          (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was))))))))",i can see now that possibly she was,S,"(S
  (S
    (ADVP (RB then))
    (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
    (VP
      (VBD was)
      (NP
        (NP (PRP$ her) (NN irritability))
        (PP
          (IN at)
          (S
            (VP
              (VBG having)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB carry)
                    (PRT (RP out))
                    (NP
                      (ADJP (RB so) (JJ unpleasant))
                      (DT a)
                      (NN task))))))))))))",then all i saw was her irritability at having to carry out so unpleasant a task,S,(CC but),but,i can see now that possibly she was but then all i saw was her irritability at having to carry out so unpleasant a task,S,S,S,True,True,True,False,False,0.8247523903846741,-0.999281108379364,-0.9993377327919006,,[0.5415 0.3345 0.406 ],0.5415,0.3345,0.406,[0.3538 0.5478 0.3972],0.3538,0.5478,0.3972,0.929975419353669,0.28426329344465134
"(VP
  (VP (VBD came) (ADVP (RB right) (RB out)))
  (CC and)
  (VP
    (VBD asked)
    (NP (PRP me))
    (S
      (VP
        (TO to)
        (VP
          (VB feel)
          (ADJP (JJ sorry) (PP (IN for) (NP (PRP them)))))))))",came right out and asked me to feel sorry for them,VP,(VP (VP (VBD came) (ADVP (RB right) (RB out)))),came right out,VP,"(VP
  (VP
    (VBD asked)
    (NP (PRP me))
    (S
      (VP
        (TO to)
        (VP
          (VB feel)
          (ADJP (JJ sorry) (PP (IN for) (NP (PRP them)))))))))",asked me to feel sorry for them,VP,(CC and),and,occasionally they came right out and asked me to feel sorry for them,V,V,V,True,True,False,False,False,-0.692925751209259,-0.9980043768882751,-0.9990345239639282,,[0.74  0.352 0.71 ],0.74,0.352,0.71,[0.604 0.482 0.404],0.6040000000000001,0.482,0.40399999999999997,0.9555905270545889,0.3592102448427661
"(S
  (S
    (NP (PRP$ our) (NN color))
    (VP
      (VBD had)
      (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish)))))
  (CC and)
  (S
    (SBAR
      (IN if)
      (S
        (NP
          (NP (DT a) (NN part))
          (PP (IN of) (NP (DT that) (NN anguish))))
        (VP (VBD was) (NP (NN guilt)))))
    (NP (PRP it))
    (VP
      (VBD was)
      (RB not)
      (ADJP
        (RB as)
        (JJ immediate)
        (PP (IN to) (NP (PRP me)))
        (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt)))))))",our color had brought this man anguish and if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,"(S
  (S
    (NP (PRP$ our) (NN color))
    (VP
      (VBD had)
      (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish))))))",our color had brought this man anguish,S,"(S
  (S
    (SBAR
      (IN if)
      (S
        (NP
          (NP (DT a) (NN part))
          (PP (IN of) (NP (DT that) (NN anguish))))
        (VP (VBD was) (NP (NN guilt)))))
    (NP (PRP it))
    (VP
      (VBD was)
      (RB not)
      (ADJP
        (RB as)
        (JJ immediate)
        (PP (IN to) (NP (PRP me)))
        (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt)))))))",if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,(CC and),and,our color had brought this man anguish and if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,S,S,True,True,True,False,False,-0.9997566342353821,-0.9913800358772278,-0.9884799122810364,,[0.4695 0.536  0.3335],0.46950000000000003,0.536,0.3335,[0.3776 0.5504 0.3506],0.37760000000000005,0.5504,0.35059999999999997,0.9933653933947113,0.09458001903150577
"(VP
  (VP
    (VBD smiled)
    (PP (IN at) (NP (DT the) (NN man)))
    (S
      (VP
        (TO to)
        (VP
          (VB let)
          (S
            (NP (PRP him))
            (VP
              (VB know)
              (SBAR
                (S
                  (NP (PRP he))
                  (VP
                    (MD should)
                    (RB n't)
                    (VP (VB feel) (ADJP (JJ bad))))))))))))
  (CC and)
  (ADVP (RB then))
  (VP
    (VBD began)
    (NP (NP (PRP$ my) (JJ long) (NN walk)) (ADVP (RB home)))))",smiled at the man to let him know he should n't feel bad and then began my long walk home,VP,"(VP
  (VP
    (VBD smiled)
    (PP (IN at) (NP (DT the) (NN man)))
    (S
      (VP
        (TO to)
        (VP
          (VB let)
          (S
            (NP (PRP him))
            (VP
              (VB know)
              (SBAR
                (S
                  (NP (PRP he))
                  (VP
                    (MD should)
                    (RB n't)
                    (VP (VB feel) (ADJP (JJ bad)))))))))))))",smiled at the man to let him know he should n't feel bad,VP,"(VP
  (ADVP (RB then))
  (VP
    (VBD began)
    (NP (NP (PRP$ my) (JJ long) (NN walk)) (ADVP (RB home)))))",then began my long walk home,VP,(CC and),and,i smiled at the man to let him know he should n't feel bad and then began my long walk home,V,V,V,True,True,False,True,True,0.997470498085022,0.9883955717086792,0.9931786060333252,,[0.6136 0.4982 0.5032],0.6136,0.49820000000000003,0.5032,[0.67933333 0.345      0.51266667],0.6793333333333335,0.345,0.5126666666666667,0.9840006880185969,0.16697523435793982
"(S
  (S
    (ADVP (RB certainly))
    (NP (PRP i))
    (ADVP (RB also))
    (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward)))))
  (CC but)
  (S
    (PP (IN in) (NP (DT that) (NN era)))
    (NP (PRP$ his) (NN cowardice))
    (VP
      (VBD was)
      (NP
        (NP (NN something))
        (SBAR
          (S
            (NP (PRP i))
            (VP (VBD had) (S (VP (TO to) (VP (VB absorb)))))))))))",certainly i also judge him a coward but in that era his cowardice was something i had to absorb,S,"(S
  (S
    (ADVP (RB certainly))
    (NP (PRP i))
    (ADVP (RB also))
    (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward))))))",certainly i also judge him a coward,S,"(S
  (S
    (PP (IN in) (NP (DT that) (NN era)))
    (NP (PRP$ his) (NN cowardice))
    (VP
      (VBD was)
      (NP
        (NP (NN something))
        (SBAR
          (S
            (NP (PRP i))
            (VP (VBD had) (S (VP (TO to) (VP (VB absorb)))))))))))",in that era his cowardice was something i had to absorb,S,(CC but),but,certainly i also judge him a coward but in that era his cowardice was something i had to absorb,S,S,S,True,True,True,False,False,-0.999138355255127,-0.9280120134353638,-0.927739679813385,,[0.306 0.547 0.503],0.306,0.5469999999999999,0.503,[0.40566667 0.52866667 0.42866667],0.4056666666666667,0.5286666666666667,0.4286666666666667,0.9876978939701673,0.12567816039392046
(NP (DT the) (NNS fifties) (CC and) (NNS sixties)),the fifties and sixties,NP,(NNS (NNS fifties)),fifties,NNS,(NNS (NNS sixties)),sixties,NNS,(CC and),and,i think what made the difference between the fifties and sixties at least as far as white guilt was concerned was that whites underwent an archetypal fall,N,N,N,True,True,False,False,False,-0.9860239028930664,-0.6623404622077942,0.7043004035949707,0.6568441390991211,[nan nan nan],,,,[nan nan nan],,,,,
"(S
  (S
    (NP (NN denial))
    (VP
      (VBZ is)
      (NP
        (NP (DT a) (JJ common) (NN way))
        (PP (IN of) (S (VP (VBG handling) (NP (NN guilt))))))))
  (CC but)
  (S
    (PP (IN in) (NP (DT the) (CD 1960s)))
    (NP (EX there))
    (VP
      (VBD was)
      (NP
        (NP (NP (JJ little) (NN will)) (VP (VBN left)))
        (PP (IN for) (NP (NN denial))))
      (PP
        (IN except)
        (PP
          (IN in)
          (NP
            (DT the)
            (ADJP (RBS most) (JJ recalcitrant))
            (NNS whites)))))))",denial is a common way of handling guilt but in the 1960s there was little will left for denial except in the most recalcitrant whites,S,"(S
  (S
    (NP (NN denial))
    (VP
      (VBZ is)
      (NP
        (NP (DT a) (JJ common) (NN way))
        (PP (IN of) (S (VP (VBG handling) (NP (NN guilt)))))))))",denial is a common way of handling guilt,S,"(S
  (S
    (PP (IN in) (NP (DT the) (CD 1960s)))
    (NP (EX there))
    (VP
      (VBD was)
      (NP
        (NP (NP (JJ little) (NN will)) (VP (VBN left)))
        (PP (IN for) (NP (NN denial))))
      (PP
        (IN except)
        (PP
          (IN in)
          (NP
            (DT the)
            (ADJP (RBS most) (JJ recalcitrant))
            (NNS whites)))))))",in the 1960s there was little will left for denial except in the most recalcitrant whites,S,(CC but),but,denial is a common way of handling guilt but in the 1960s there was little will left for denial except in the most recalcitrant whites,S,S,S,True,True,True,False,False,-0.9946223497390747,-0.8863689303398132,0.6577812433242798,,[0.3705 0.351  0.3155],0.3705,0.351,0.3155,[0.3225  0.39725 0.368  ],0.3225,0.39725,0.368,0.9916918451615534,0.08484876251307381
"(NP
  (NP (NN redemption))
  (CC or)
  (NP
    (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
    (PP (IN of) (NP (NN redemption)))))",redemption or at least the look of redemption,NP,(NP (NP (NN redemption))),redemption,NP,"(NP
  (NP
    (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
    (PP (IN of) (NP (NN redemption)))))",at least the look of redemption,NP,(CC or),or,once america could no longer deny its guilt it went after redemption or at least the look of redemption and did so with a vengeance,N,N,N,True,True,False,False,False,0.9966323971748352,0.9942806959152222,0.9905217885971069,,[0.376 0.408 0.545],0.376,0.408,0.545,[0.5475 0.4185 0.58  ],0.5475,0.4185,0.5800000000000001,0.9888505039299272,0.17534965069825487
"(VP
  (VP
    (VBD went)
    (PP
      (IN after)
      (NP
        (NP (NN redemption))
        (CC or)
        (NP
          (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
          (PP (IN of) (NP (NN redemption)))))))
  (CC and)
  (VP
    (VBD did)
    (ADVP (RB so))
    (PP (IN with) (NP (DT a) (NN vengeance)))))",went after redemption or at least the look of redemption and did so with a vengeance,VP,"(VP
  (VP
    (VBD went)
    (PP
      (IN after)
      (NP
        (NP (NN redemption))
        (CC or)
        (NP
          (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
          (PP (IN of) (NP (NN redemption))))))))",went after redemption or at least the look of redemption,VP,"(VP
  (VP
    (VBD did)
    (ADVP (RB so))
    (PP (IN with) (NP (DT a) (NN vengeance)))))",did so with a vengeance,VP,(CC and),and,once america could no longer deny its guilt it went after redemption or at least the look of redemption and did so with a vengeance,V,V,V,True,True,False,False,False,0.9397881031036377,0.9942806959152222,0.9654000401496887,,[0.49033333 0.415      0.56833333],0.49033333333333334,0.415,0.5683333333333334,[0.103 0.927 0.719],0.103,0.927,0.719,0.8354130227224854,0.659447917242564
(NP (NN housing) (CC and) (NN education)),housing and education,NP,(NN (NN housing)),housing,NN,(NN (NN education)),education,NN,(CC and),and,a national research council study notes the status of blacks relative to whites -LRB- in housing and education -RRB- has stagnated or regressed since the early seventies,N,N,N,True,True,False,False,False,0.9918949007987976,-0.8586019277572632,0.9942481517791748,0.32108449935913086,[0.776 0.304 0.591],0.776,0.304,0.591,[0.896 0.275 0.84 ],0.896,0.275,0.84,0.9917850958454784,0.2779244501658679
